Dataset,0.2,0.5,0.8,1.0,Best_SlowStart
100MB,0.00,0.33,0.00,0.00,"0.2,0.8,1.0"
500MB,0.00,1.00,0.67,0.00,"0.2,1.0"
1G,0.00,0.00,0.00,3.00,"0.2,0.5,0.8"
